mmu00640	100705,104776,106557,107476,110446,110460,110821,11364,12039,12040,13171,13382,16828,16832,16833,17850,20916,20917,227095,268860,380660,52665,56451,56690,60525,66904,68738,73724,74147,93747,97212,
mmu00650	110446,110460,11409,117147,14415,14417,15107,15356,15360,20216,208715,208982,214579,217666,233799,233801,268860,272428,353371,64059,67041,69772,71911,74147,78894,93747,97212,
mmu00670	100039707,107747,107885,108037,108147,108156,13361,14317,14450,17768,17769,20425,216188,22171,238505,270685,434437,665563,69606,
mmu00730	105663,11431,11636,11637,11639,11647,11648,11650,18041,229949,29807,66566,68870,76768,78801,
mmu00740	11431,11432,11433,18605,209558,233016,319945,54391,
mmu00750	103711,107272,11761,213043,216134,57028,71724,71872,73373,
mmu00760	103850,107569,11761,11871,11872,12182,12494,18113,18115,18605,18950,192185,209558,213043,223646,225994,226518,230718,23959,50773,59027,66454,667034,66763,67375,67993,68106,68352,68646,69564,70881,71724,71872,74080,76952,78914,
mmu00770	103149,106564,12035,12036,18605,209558,211347,22361,26464,269614,64705,66812,67618,71743,73748,74450,75735,99586,
mmu00780	110948,26363,71147,
mmu00785	623661,67164,79464,
mmu00790	110391,11647,11648,11650,11677,11997,12408,13180,13361,14187,14287,14528,14590,17434,18478,19286,20751,216343,21823,21990,268566,56738,67861,68591,72562,76768,
mmu00830	100040843,100041375,100559,100727,103142,107141,107605,112417,11522,11529,11532,11668,11761,13076,13077,13082,13085,13086,13087,13088,13089,13090,13094,13095,13096,13097,13098,13099,13112,13113,13114,13117,13118,13119,13350,17252,19378,19682,19683,19892,20148,213043,22236,22238,226105,226143,230639,231396,232174,235033,241452,242285,243085,243881,245532,26358,26876,27400,277753,28200,337924,394430,394432,394433,394434,394435,394436,404195,433247,435802,53973,54150,546726,552899,56388,63857,666168,67442,69888,71724,71773,71872,72082,72094,72303,74134,77974,79235,94215,94284,98711,
mmu00860	100559,100727,107508,109778,110006,112417,11655,11656,12870,12892,14151,14297,15159,15203,15288,15368,15369,17025,19044,22236,22238,22275,22276,226139,231396,233016,243085,394430,394432,394433,394434,394435,394436,552899,67417,70383,71773,72094,77697,94215,94284,
mmu00900	102635781,110196,110446,110460,110606,14272,14593,15357,15360,17855,192156,19671,208715,230709,319554,320581,52014,56075,57295,66881,67422,68603,71365,
mmu00910	12319,12346,12349,12350,12351,12352,12353,12354,14645,14661,227231,230099,23831,56078,71934,76459,80733,
mmu00920	211389,22117,23827,23971,23972,242291,246221,59010,66071,
mmu00970	102436,104458,105148,107045,107271,107508,109093,110960,15115,17726,17727,17728,17729,17730,17731,17732,17733,17734,17735,17736,17737,17738,17739,17740,17741,17742,17743,17744,17745,17746,17747,20226,211006,212679,214580,216443,22321,22375,224805,226414,226539,229487,230577,234734,23874,244141,272396,27267,353172,381314,384281,66590,67417,68915,69606,69955,70120,70223,70560,70791,71807,71941,71984,76563,85305,97541,
mmu00980	100559,100727,103140,109857,110198,112417,11522,11529,11532,11670,12408,12409,13076,13077,13078,13106,13107,13849,14857,14858,14859,14860,14862,14863,14864,14865,14866,14867,14869,14870,14871,14872,14873,15483,20859,211666,22236,22238,231396,243085,26876,394430,394432,394433,394434,394435,394436,54486,552899,56615,56847,621603,629203,66447,67689,68214,68312,71755,71773,72094,73458,74134,75886,76263,94215,94284,
mmu00982	100559,100727,103140,109731,112417,11522,11529,11532,11670,11761,13077,13106,14261,14262,14263,14857,14858,14859,14860,14862,14863,14864,14865,14866,14867,14869,14870,14871,14872,14873,17161,211666,213043,22236,22238,226564,226565,226601,226604,231396,240894,243085,26876,394430,394432,394433,394434,394435,394436,54486,552899,55990,56615,56847,621603,66447,67689,68214,68312,71724,71773,71872,72094,73458,75886,76263,94215,94284,
mmu00983	100559,100727,102022,103140,103149,104158,110006,110074,112417,13106,13884,13897,14857,14858,14859,14860,14862,14863,14864,14865,14866,14867,14869,14870,14871,14872,14873,15452,16434,171567,17523,17960,17961,17962,18102,18103,20133,20135,211666,21877,22017,22236,22238,22245,22247,22271,22436,229363,231396,234564,234669,234671,234673,23917,23918,243085,382985,394430,394432,394433,394434,394435,394436,436059,54369,552899,56520,56615,57813,64705,66447,66588,68214,68312,68556,71773,72094,72269,72361,72962,75886,76654,79059,80914,94215,94284,99586,
mmu01040	106529,111175,113868,11430,12012,170439,171210,171281,171282,20249,20250,217698,235674,26897,30049,30963,329065,54326,56348,56473,57874,66775,68801,70025,70757,76267,80911,97212,
